conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,apply diplomatic principles,"utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
apply diplomatic principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles",,released,2016-12-20T20:17:30Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,lead police investigations,"supervise police investigations
manage police enquiries
supervise police enquiries
oversee police investigations
manage police investigations
lead police investigations
oversee police enquiries",,released,2016-12-20T20:14:39Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,handle fish harvesting waste,"dispose of waste from fish harvesting
fish harvesting waste handling
handle fish harvesting waste
fish harvesting waste disposing
handling fish harvesting waste
dispose of fish harvesting waste",,released,2021-12-08T20:19:25.186Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Dispose of waste, blood and inferior quality fish according to site waste management procedures."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,develop energy saving concepts,"developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing",,released,2016-12-20T18:40:47Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green","Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,perform street interventions in social work,"perform street interventions in social work
do street interventions in social work
perform street-intervention in social work
perform street intervention in social-work
perform street-intervention in social-work
conduct outreach activites
carry out street interventions in social work",,released,2021-12-08T20:19:48.867Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,work with soloists,"collaborate with soloists
working with soloists
work with a soloist
work with soloists
communicate with solo artists",,released,2016-12-20T17:44:51Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Communicate with solo artists and concert masters to discuss and prepare for performances.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,sport and exercise medicine,"sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine",,released,2016-12-20T19:25:21Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,conduct research on flora,"carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora",,released,2016-12-20T20:26:33Z,,,"http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,install heat pump,"install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing",,released,2020-12-08T11:23:59.258Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green","Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,skill/competence,sector-specific,design biomass installations,"design biomass installation
design biomass system",,released,2020-12-09T11:09:55.879Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/skills","Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,skill/competence,occupation-specific,handle equipment while suspended,"using climbing equipment
equipment handling while suspended
handling of equipment while suspended
use climbing equipment while on a rope
use climbing equipment
using climbing equipment while on a rope
handling equipment while suspended
handle equipment while suspended",,released,2016-12-20T18:22:43Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,skill/competence,cross-sector,teach housekeeping skills,"teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill",,released,2016-12-20T20:07:46Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,skill/competence,sector-specific,check train engines,"check train engines
check engines on trains meet regulations
check locomotive engines
check engines on locomotives
ensure train engines comply with regulations
ensure compliance of train engines with regulations
perform train engine compliance activities
check engines of trains
ensure train engines meet regulatory requirements
check train engines meet regulations
check engines on trains
ensure train engines comply with applicable regulations",,released,2016-12-20T21:06:31Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Ensure that train engines comply with regulations before commencing a journey.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,skill/competence,cross-sector,influence public policies,lobbying for public policies,,released,2021-01-21T08:37:17.727Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,knowledge,sector-specific,enterprise risk management,ERM,,released,2020-12-08T21:20:29.226Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives. "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,skill/competence,sector-specific,manufacture ingredients,"manufacture ingredients
ingredients manufacture
assemble ingredients
manufacture of ingredients
produce ingredients
construct ingredients
manufacture of an ingredient
fabricate ingredients",,released,2016-12-20T19:02:15Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Manufacture ingredients such as spices, additives and vegetables."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,skill/competence,occupation-specific,maintain aquaculture ponds,"aquaculture pond maintaining
maintaining aquaculture ponds
cleaning aquaculture ponds
aquaculture pond cleaning
aquaculture ponds maintaining
pond maintaining in aquaculture
clean aquaculture ponds
maintain aquaculture ponds
aquaculture ponds cleaning
pond cleaning in aquaculture",,released,2021-12-08T20:20:05.443Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,apply credit risk policy,"administer credit risk policy
implement credit risk policy
employ credit risk policy
applying credit risk policy
apply a credit risk policy
apply credit risk policy
utilise credit risk policy
credit risk policy application",,released,2016-12-20T20:41:34Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,skill/competence,occupation-specific,handle customer requests related to cargo,"respond to customer freight requests
deal with customer requests related to cargo
handle customer requests related to cargo
respond to customer cargo requests
handle requests of customers related to cargo
address requests made by customers in relation to cargo
address customer requests in relation to shipments
handle customer requests related to freight
deal with requests of customers related to cargo
deal with customer requests related to freight
respond to customer requests in relation to cargo
handle requests of customers related to freight",,released,2016-12-20T21:17:06Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Handle requests of port users and customers in the field of containers, shipping arrangements or cargo."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,skill/competence,cross-sector,draft scientific or academic papers and technical documentation,,,released,2021-07-12T09:20:05.143Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/research","Draft and edit scientific, academic or technical texts on different subjects."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,Incremental development,Incremental development,,released,2022-07-05T14:33:28.658Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/skills",The incremental development model is a methodology to design software systems and applications.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,occupation-specific,use of special equipment for daily activities,use of special equipment for daily activities,,released,2016-08-02T14:54:30Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sector-specific,sawing techniques,"sawing technologies
sawing methods
sawing technique
sawing procedures
sawing tech
sawing techniques",,released,2016-12-20T21:25:50Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Various sawing techniques for using manual as well as electric saws.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,skill/competence,sector-specific,produce guitar components,"build guitar components
make guitar components
producing guitar components
construct guitar components
produce a guitar component
produce guitar components
erect guitar components",,released,2016-12-20T19:11:28Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,operate agricultural machinery,"farm machinery operating
operating motorised agricultural machinery
operating agricultural machinery
operate farm machinery
operating farm machinery
motorised agricultural machinery operating
agricultural machinery operating
operating motorised farm machinery
motorised farm machinery operating
operate agricultural machinery
operate motorised agricultural machinery",,released,2021-12-08T20:20:27.891Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,skill/competence,occupation-specific,control pyrotechnics stock,"controlling pyrotechnics stock
pyrotechnics stock controlling
manage pyrotechnics stock
control pyrotechnics stock
pyrotechnics stock managing
control stock of pyrotechnics
managing pyrotechnics stock",,released,2020-06-15T07:22:29.737Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,guarantee customer satisfaction,"to guarantee customer satisfaction
ensure customer satisfaction
provide customer satisfaction
customer satisfaction guarantee
guaranteeing customer satisfaction
guarantee customer satisfaction
promise customer satisfaction
assure customer satisfaction",,released,2016-12-20T20:50:54Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,skill/competence,sector-specific,manufacture wearing apparel products,"manufacture wearing apparel products
assemble wearing apparel components
manufacture clothing
manufacture clothing products
manufacture garments
assemble garment components
assemble clothing components
manufacture wearing apparel",,released,2016-12-20T20:34:10Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,skill/competence,sector-specific,cure tobacco leaves,"cure a tobacco leaf
temper tobacco leaves
dry tobacco leaves
preserve tobacco leaves
smoke tobacco leaves
cure tobacco leaves
curing tobacco leaves",,released,2016-12-20T18:57:16Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,skill/competence,cross-sector,develop a rehabilitation programme,"design a rehabilitation programme
compile a rehabilitation plan
develop a rehabilitation program
set up rehabilitation plan
develop rehabilitation programmes
develop rehabilitation programs",,released,2016-12-20T19:27:27Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,skill/competence,sector-specific,maintain inventory of cleaning supplies,"track  inventory of cleaning supplies
manage inventory of cleaning supplies
maintain inventory of cleaning supplies
maintaining inventory of cleaning supplies
maintain inventory of supplies for cleaning
maintain inventory of cleaning supply",,released,2020-06-24T14:09:30.667Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Follow the stock of cleaning materials, order new material when the stock is empty and follow their usage to maintain a constant supply."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,occupation-specific,cold vulcanisation,"using vulcanising solution
tyre repair method
cold vulcanization
use of vulcanising solution
tyre repair technique",,released,2016-12-20T18:17:52Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,skill/competence,sector-specific,supervise housekeeping operations,"oversee housekeeping operations
supervise operations of housekeeping
supervise housekeepers' duties
coordinate housekeeping duties
supervise housekeeping operations",,released,2016-10-18T17:47:19Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,skill/competence,cross-sector,act as contact person during equipment incident,"play the role of contact person during equipment damage
act as contact person during equipment incident
be the contact person during equipment incident
play the role of a contact person during investigation
engage as a contact person during investigation
take responsibility as a contact person during incident
be the contact person during investigation",,released,2016-12-20T20:02:31Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,skill/competence,sector-specific,manage time in landscaping,"landscaping time managing
manage time in landscaping
landscaping scheduling
schedule landscaping
managing time in landscaping
scheduling landscaping
time managing in landscaping",,released,2016-12-20T17:28:09Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,skill/competence,sector-specific,advise on customs regulations,advise customers,,released,2021-03-30T09:48:25.22Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Give information to people regarding import and export restrictions, tariff systems and other custom-related topics."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,skill/competence,occupation-specific,manage university department,"manage university departments
managing university department
supervise university department
oversee university department
manage university department
coordinate university department
manages university department",,released,2016-12-20T18:30:52Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Supervise and assess the university support practices, students' well-being, and teachers' performance."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,skill/competence,sector-specific,develop terminology databases,"define terminology databases prepare terminology databases
write terminology databases
compile terminology databases
developing terminology databases
develop terminology databases
developing terminology database
draw up terminology databases
populate terminology databases
develop terminology database",,released,2016-12-20T20:24:24Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,skill/competence,sector-specific,assess nutritional characteristics of food,"judge nutritional characteristics of food
determine nutritional characteristics of food
assess the nutritional characteristics of food
check nutritional characteristics of food
assess nutritional characteristics of food
appraise nutritional characteristics of food",,released,2020-06-25T18:30:30.053Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Evaluate the nutritional value of food, including proportion of fats, carbohydrates, sugars, vitamins, in order to contribute to a better healthy diet. "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,skill/competence,occupation-specific,repair electric bicycles,"repair electric bicycle
repair electric bicycles
repair electric bikes
fix electric bikes
repairing electric bicycles
fix electric bicycles
repair bicycles",,released,2016-12-20T20:07:28Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,skill/competence,sector-specific,maintain sorting equipment,"maintain sorting equipment
maintaining sorting equipment
sorting equipment maintaining
maintaining of sorting equipment
sorting equipment repairing
repair sorting equipment
repairing sorting equipment",,released,2016-12-20T18:39:31Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.
